INPUT:option_a	INPUT:option_b	INPUT:option_c	INPUT:option_d	INPUT:question	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
взять новую лампочку, чтобы закончить тест	спрятать разбитое стекло под стол	попросить своего партнера помочь подобрать разбитое стекло	сказать своему учителю, что она разбила лампочку	Пока Анна проверяла схему, она уронила лампочку. Что может быть самым безопасным для Анны?	C	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d5772d52b5a02150ee2	00028677a5--656635d172d52b5a0213febb	00028677a5--65663d5772d52b5a02150ee2	00028677a5--65663d5772d52b5a02150ee0	a2ddb2442f393c4b0f105b3c2c4b1ca7	APPROVED	2023-11-28T19:19:51.067	2023-11-28T19:20:30.082	2023-11-28T19:20:30.082	0.0320000000
лазерный луч с голографией	электронный микроскоп	сейсмограф	стереоскоп	Ученый должен сфотографировать упорядоченное расположение атомов и молекул внутри вещества. Какой из следующих инструментов лучше всего подойдет ученому?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d5772d52b5a02150ee2	00028677a5--656635ea93eb880e6311dc63	00028677a5--65663d5772d52b5a02150ee2	00028677a5--65663d5772d52b5a02150ee0	a2ddb2442f393c4b0f105b3c2c4b1ca7	APPROVED	2023-11-28T19:19:51.067	2023-11-28T19:20:30.082	2023-11-28T19:20:30.082	0.0320000000
Кот	Собака	Кролик	Лев	Какое животное ест только растения?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d5772d52b5a02150ee2	00028677a5--656635e993eb880e6311dc1f	00028677a5--65663d5772d52b5a02150ee2	00028677a5--65663d5772d52b5a02150ee0	a2ddb2442f393c4b0f105b3c2c4b1ca7	APPROVED	2023-11-28T19:19:51.067	2023-11-28T19:20:30.082	2023-11-28T19:20:30.082	0.0320000000
гибернация	прорастание	общение	миграция	Многие птицы летают на юг на зиму. Эта адаптация называется	D				https://platform.toloka.ai/task/42366885/00028677a5--65663d5b73f0bd2e80da092b	00028677a5--656635e693eb880e6311da4b	00028677a5--65663d5b73f0bd2e80da092b	00028677a5--65663d5b73f0bd2e80da0929	7bbfb6847ba4f493620098d98ede1589	APPROVED	2023-11-28T19:19:55.530	2023-11-28T19:20:36.475	2023-11-28T19:20:36.475	0.0320000000
через химическое вещество под названием хлорофилл	через систему трубок	с помощью фотосинтеза	превращая воду в пищу	Что из следующего лучше всего объясняет, как стебли переносят воду к другим частям растения?	C	B			https://platform.toloka.ai/task/42366885/00028677a5--65663d5b73f0bd2e80da092b	00028677a5--656635d172d52b5a0213fec2	00028677a5--65663d5b73f0bd2e80da092b	00028677a5--65663d5b73f0bd2e80da0929	7bbfb6847ba4f493620098d98ede1589	APPROVED	2023-11-28T19:19:55.530	2023-11-28T19:20:36.475	2023-11-28T19:20:36.475	0.0320000000
Она меняет цвет	Становится тяжелее	Она превращается в водяной пар	Она перестает пузыриться	Что происходит с водой, когда она закипает?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d5b73f0bd2e80da092b	00028677a5--656635eb93eb880e6311dd68	00028677a5--65663d5b73f0bd2e80da092b	00028677a5--65663d5b73f0bd2e80da0929	7bbfb6847ba4f493620098d98ede1589	APPROVED	2023-11-28T19:19:55.530	2023-11-28T19:20:36.475	2023-11-28T19:20:36.475	0.0320000000
Пластиковый переключатель был лучше, чем металлический	Фонарик содержал батарею	Длина провода 35 см	Лампа была зажжена в течение 20 минут, прежде чем она перегорела	Катя сделала простой фонарик. Она записала следующие утверждения в свою лабораторную книгу. Какое утверждение является выводом?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d5bedc5b13fcc9c15db	00028677a5--656635ea93eb880e6311dcc3	00028677a5--65663d5bedc5b13fcc9c15db	00028677a5--65663d5bedc5b13fcc9c15d5	e7e198d5d2cdfce2095b0444771f6dc1	APPROVED	2023-11-28T19:19:55.672	2023-11-28T19:20:50.999	2023-11-28T19:20:50.999	0.0320000000
масса	сила тяжести	трение	скорость	Карандаш падает со стола. Что почему карандаш притягивается к полу?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d5bedc5b13fcc9c15db	00028677a5--656635e893eb880e6311dba6	00028677a5--65663d5bedc5b13fcc9c15db	00028677a5--65663d5bedc5b13fcc9c15d5	e7e198d5d2cdfce2095b0444771f6dc1	APPROVED	2023-11-28T19:19:55.672	2023-11-28T19:20:50.999	2023-11-28T19:20:50.999	0.0320000000
Вакуоль	Хлоропласт	Клеточная стенка	Ядро	Какая часть растительной клетки отвечает за управление деятельностью других частей клетки?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d5bedc5b13fcc9c15db	00028677a5--656635d172d52b5a0213fed2	00028677a5--65663d5bedc5b13fcc9c15db	00028677a5--65663d5bedc5b13fcc9c15d5	e7e198d5d2cdfce2095b0444771f6dc1	APPROVED	2023-11-28T19:19:55.672	2023-11-28T19:20:50.999	2023-11-28T19:20:50.999	0.0320000000
осадки	конденсация	испарение	классификация	Студент исследует изменения в состояниях материи. Студент заполняет мерный цилиндр 50 миллилитрами утрамбованного снега. Мерный цилиндр имеет массу 50 г в пустом состоянии и 95 г в заполненном снегом. Во время какого процесса круговорота воды снег падает на землю?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d5e2eae777d41428916	00028677a5--656635e993eb880e6311dc19	00028677a5--65663d5e2eae777d41428916	00028677a5--65663d5e2eae777d41428914	baa63a07799d9d69c8a55c514f3d66c1	APPROVED	2023-11-28T19:19:58.649	2023-11-28T19:21:49.850	2023-11-28T19:21:49.850	0.0300000000
Он замораживает мелкие частицы грязи, образуя большие камни	Он переносит растения с гор и в океаны	Он тает и становится частью ручьев и рек	Он соскребает мелкие частицы с крупных камней	Ледник - это медленно движущаяся ледяная река. Как ледник помогает создавать почву?	C	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d5e2eae777d41428916	00028677a5--656635d172d52b5a0213feeb	00028677a5--65663d5e2eae777d41428916	00028677a5--65663d5e2eae777d41428914	baa63a07799d9d69c8a55c514f3d66c1	APPROVED	2023-11-28T19:19:58.649	2023-11-28T19:21:49.850	2023-11-28T19:21:49.850	0.0300000000
механическая	тепловая	химическая	звуковая	Какая форма энергии необходима, чтобы превратить воду из жидкости в газ?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d5e2eae777d41428916	00028677a5--656635e693eb880e6311da1a	00028677a5--65663d5e2eae777d41428916	00028677a5--65663d5e2eae777d41428914	baa63a07799d9d69c8a55c514f3d66c1	APPROVED	2023-11-28T19:19:58.649	2023-11-28T19:21:49.850	2023-11-28T19:21:49.850	0.0300000000
Кошка ест мышь	Змея ест крысу	Ястреб ест мышь	Олень ест лист	В каких из следующих событий участвуют потребитель и продуцент пищевой цепи?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d5f1e0df1629af50537	00028677a5--656635d172d52b5a0213febe	00028677a5--65663d5f1e0df1629af50537	00028677a5--65663d5f1e0df1629af50533	a0720b0fb5ef76bb64956106bbbccfbb	APPROVED	2023-11-28T19:19:59.593	2023-11-28T19:20:44.243	2023-11-28T19:20:44.243	0.0300000000
Дмитрием Менделеевым	Михаилом Ломоносовым	Александром Пушкиным	Константином Циолковским	Периодический закон, объясняющий зависимость свойств химических элементов от их атомного веса, был открыт	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d5f1e0df1629af50537	00028677a5--656635eb93eb880e6311dd06	00028677a5--65663d5f1e0df1629af50537	00028677a5--65663d5f1e0df1629af50533	a0720b0fb5ef76bb64956106bbbccfbb	APPROVED	2023-11-28T19:19:59.593	2023-11-28T19:20:44.243	2023-11-28T19:20:44.243	0.0300000000
зеркало	карандаш	телефонный столб	металлический провод	Гибкость - это физическое свойство некоторых материалов. Какой из этих материалов лучше всего демонстрирует свойство гибкости?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663d5f1e0df1629af50537	00028677a5--656635e793eb880e6311dad8	00028677a5--65663d5f1e0df1629af50537	00028677a5--65663d5f1e0df1629af50533	a0720b0fb5ef76bb64956106bbbccfbb	APPROVED	2023-11-28T19:19:59.593	2023-11-28T19:20:44.243	2023-11-28T19:20:44.243	0.0300000000
Дмитрием Менделеевым	Михаилом Ломоносовым	Александром Пушкиным	Константином Циолковским	Периодический закон, объясняющий зависимость свойств химических элементов от их атомного веса, был открыт	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d61edc5b13fcc9c171a	00028677a5--656635eb93eb880e6311dd06	00028677a5--65663d61edc5b13fcc9c171a	00028677a5--65663d61edc5b13fcc9c170f	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:20:01.221	2023-11-28T19:21:46.288	2023-11-28T19:21:46.288	0.0320000000
механическая	тепловая	химическая	звуковая	Какая форма энергии необходима, чтобы превратить воду из жидкости в газ?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d61edc5b13fcc9c171a	00028677a5--656635e693eb880e6311da1a	00028677a5--65663d61edc5b13fcc9c171a	00028677a5--65663d61edc5b13fcc9c170f	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:20:01.221	2023-11-28T19:21:46.288	2023-11-28T19:21:46.288	0.0320000000
Он замораживает мелкие частицы грязи, образуя большие камни	Он переносит растения с гор и в океаны	Он тает и становится частью ручьев и рек	Он соскребает мелкие частицы с крупных камней	Ледник - это медленно движущаяся ледяная река. Как ледник помогает создавать почву?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d61edc5b13fcc9c171a	00028677a5--656635d172d52b5a0213feeb	00028677a5--65663d61edc5b13fcc9c171a	00028677a5--65663d61edc5b13fcc9c170f	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:20:01.221	2023-11-28T19:21:46.288	2023-11-28T19:21:46.288	0.0320000000
Кошка ест мышь	Змея ест крысу	Ястреб ест мышь	Олень ест лист	В каких из следующих событий участвуют потребитель и продуцент пищевой цепи?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d6473f0bd2e80da0a81	00028677a5--656635d172d52b5a0213febe	00028677a5--65663d6473f0bd2e80da0a81	00028677a5--65663d6473f0bd2e80da0a7c	f23b475b302f649e049f08471c37a8a1	APPROVED	2023-11-28T19:20:04.604	2023-11-28T19:21:46.496	2023-11-28T19:21:46.496	0.0320000000
